id,hashtag,type,matched_post_ids,frequency
653,kamuda,automatic,"['3367848264015221323', '3369842229836973367', '3371532628304287789', 'UzpfSTEwMDA2Mzc2ODc5MjE5NTo5MzIyNTY3NjIyNDMyNzU6OTMyMjU2NzYyMjQzMjc1']",4.0
371,büroi̇şsendikası,automatic,['3373412636152286447'],1.0
372,haklarımızısavunuyoruz,automatic,['3373412636152286447'],1.0
607,genç,automatic,['3368656736480785190'],1.0
608,nüfus,automatic,['3368656736480785190'],1.0
373,toplutaşımahakkı,automatic,['3373412636152286447'],1.0
609,doğum,automatic,['3368656736480785190'],1.0
610,mübadele,automatic,['3368656736480785190'],1.0
611,sığınmacı,automatic,['3368656736480785190'],1.0
612,göçmen,automatic,['3368656736480785190'],1.0
613,kaçak,automatic,['3368656736480785190'],1.0
614,suriyeli,automatic,['3368656736480785190'],1.0
374,hüseyinbaş,automatic,['3372946557315558134'],1.0
375,hükümet,automatic,['3372946557315558134'],1.0
376,kapitülasyon,automatic,['3372946557315558134'],1.0
377,özelleştirme,automatic,['3372946557315558134'],1.0
378,iktidar,automatic,['3372946557315558134'],1.0
379,bütçe,automatic,['3372946557315558134'],1.0
380,vergiler,automatic,['3372946557315558134'],1.0
381,memur,automatic,['3372946557315558134'],1.0
382,öğretmen,automatic,['3372946557315558134'],1.0
383,doktor,automatic,['3372946557315558134'],1.0
384,emekli,automatic,['3372946557315558134'],1.0
385,işçi,automatic,['3372946557315558134'],1.0
386,dolar,automatic,['3372946557315558134'],1.0
387,faiz,automatic,['3372946557315558134'],1.0
388,mevduat,automatic,['3372946557315558134'],1.0
389,banka,automatic,['3372946557315558134'],1.0
390,haciz,automatic,['3372946557315558134'],1.0
391,çiftçi,automatic,['3372946557315558134'],1.0
392,tarım,automatic,['3372946557315558134'],1.0
393,hayvancılık,automatic,['3372946557315558134'],1.0
394,ötv,automatic,['3372946557315558134'],1.0
395,kdv,automatic,['3372946557315558134'],1.0
396,hırsızlık,automatic,['3372946557315558134'],1.0
615,afgan,automatic,['3368656736480785190'],1.0
616,ajan,automatic,['3368656736480785190'],1.0
617,aliyerlikaya,automatic,['3368656736480785190'],1.0
618,süleymansoylu,automatic,['3368656736480785190'],1.0
619,dolartl,automatic,['3368656736480785190'],1.0
620,çerez,automatic,['3368656736480785190'],1.0
621,özgür,automatic,['3368656736480785190'],1.0
622,mügeanlı,automatic,['3368656736480785190'],1.0
623,sinanateş,automatic,['3368656736480785190'],1.0
624,devletbahçeli,automatic,['3368656736480785190'],1.0
625,arapça,automatic,['3368656736480785190'],1.0
626,sözemekçinin,automatic,['3368595036322275768'],1.0
627,katılındeğiştirelim,automatic,['3368595036322275768'],1.0
628,esnekveuzaktançalışma,automatic,['3368357503682990885'],1.0
648,mustafadestici,automatic,['3368370498553079453'],1.0
649,destici,automatic,['3368370498553079453'],1.0
650,bbp,automatic,['3368370498553079453'],1.0
651,hazineyardımı,automatic,['3368370498553079453'],1.0
652,kamudatasarrufpaketi,automatic,['3368370498553079453'],1.0
834,erudia8,automatic,['873502651458418'],1.0
655,ekonomiçöktü,automatic,['3367848264015221323'],1.0
817,paket,automatic,['3367267692493242306'],1.0
656,repost,automatic,['3367880966930815332'],1.0
756,tasarruftedbirleri,automatic,['3367586405625047623'],1.0
724,kamudatasarruf’’,automatic,['3367700886693490270'],1.0
818,açıklandı,automatic,['3367267692493242306'],1.0
788,kamutasarrufpaketi,automatic,['3367117243874041096'],1.0
758,sözdedeğilözdetasarruf,automatic,['3367586405625047623'],1.0
723,tvnet,automatic,['3367203753842761881'],1.0
759,trabzonungüçlüsesi,automatic,['3367586405625047623'],1.0
825,hortum,automatic,['3367826250277672795'],1.0
797,milsen,automatic,['3367038899357603732'],1.0
734,kayserihaber,automatic,['3367173357319252741'],1.0
735,kayseriolay,automatic,['3367173357319252741'],1.0
726,mkhaber,automatic,['3367674728771784620'],1.0
727,nişantaşı,automatic,['3367674728771784620'],1.0
686,millet,automatic,['3367214591144784616'],1.0
715,kamudatasarruf’’,automatic,['3367720700961597715'],1.0
716,sesteörgütlenelim,automatic,['3367720700961597715'],1.0
717,birliktedeğiştireceğiz,automatic,['3367720700961597715'],1.0
728,dışhaber,automatic,['3367674728771784620'],1.0
729,dünyaçiftçilergünü,automatic,['3367674728771784620'],1.0
718,mehmetsimgek,automatic,['3367224855864554643'],1.0
730,ömerkerkez,automatic,['3367674728771784620'],1.0
736,mehmetbüyüksimitci,automatic,['3367173357319252741'],1.0
719,tasarrufpaketi,automatic,['3367224855864554643'],1.0
737,kayso,automatic,['3367173357319252741'],1.0
731,yargıtay,automatic,['3367674728771784620'],1.0
826,servis,automatic,['3367826250277672795'],1.0
819,personelservisi,automatic,['3367267692493242306'],1.0
820,sonaeriyor,automatic,['3367267692493242306'],1.0
798,cami,automatic,['3367038899357603732'],1.0
799,kadro,automatic,['3367038899357603732'],1.0
657,canakkaleege,automatic,['3367265980276399050'],1.0
422,zam,automatic,['3372040737874567189'],1.0
423,enflasyon,automatic,['3372040737874567189'],1.0
404,gülkılıç,automatic,['3371918175806443325'],1.0
405,astor,automatic,['3371918175806443325'],1.0
406,borsa,automatic,['3371918175806443325'],1.0
407,bist,automatic,['3371918175806443325'],1.0
408,forte,automatic,['3371918175806443325'],1.0
409,alves,automatic,['3371918175806443325'],1.0
410,ereğli,automatic,['3371918175806443325'],1.0
411,koza,automatic,['3371918175806443325'],1.0
412,kozal,automatic,['3371918175806443325'],1.0
413,krdmd,automatic,['3371918175806443325'],1.0
414,pgsus,automatic,['3371918175806443325'],1.0
415,thyo,automatic,['3371918175806443325'],1.0
416,gubrf,automatic,['3371918175806443325'],1.0
417,sasa,automatic,['3371918175806443325'],1.0
418,odine,automatic,['3371918175806443325'],1.0
419,brkvy,automatic,['3371918175806443325'],1.0
420,ktlev,automatic,['3371918175806443325'],1.0
421,eczyt,automatic,['3371918175806443325'],1.0
439,kamudatasarruftedbirlerininayrıntıları,automatic,['3370926862828083952'],1.0
440,kamudatasarruftedbirleri,automatic,['3370926862828083952'],1.0
452,kpss,automatic,['3370100238756385308'],1.0
481,togg,automatic,['3371532628304287789'],1.0
424,haber,automatic,['3370675163768196930'],1.0
425,onyedieylül,automatic,['3370675163768196930'],1.0
426,onyedieylulgazetesi,automatic,['3370675163768196930'],1.0
427,basın,automatic,['3370675163768196930'],1.0
428,press,automatic,['3370675163768196930'],1.0
429,medya,automatic,['3370675163768196930'],1.0
430,iletişim,automatic,['3370675163768196930'],1.0
431,comminication,automatic,['3370675163768196930'],1.0
432,breakingnews,automatic,['3370675163768196930'],1.0
433,bandırma,automatic,['3370675163768196930'],1.0
434,türkiye,automatic,['3370675163768196930'],1.0
435,cumhurbaşkanı,automatic,['3370675163768196930'],1.0
436,receptayyiperdoğan,automatic,['3370675163768196930'],1.0
437,hazinevemaliyebakanlığı,automatic,['3370675163768196930'],1.0
438,cevdetyılmaz,automatic,['3370675163768196930'],1.0
441,servishizmeti,automatic,['3370926862828083952'],1.0
442,zorunlunöbet,automatic,['3370926862828083952'],1.0
443,fazlamesaiyok,automatic,['3370926862828083952'],1.0
444,kamuişçisi,automatic,['3370926862828083952'],1.0
445,kamui̇şçisii̇zinleri,automatic,['3370926862828083952'],1.0
453,kpssgygk,automatic,['3370100238756385308'],1.0
454,kpsscoğrafya,automatic,['3370100238756385308'],1.0
455,kpsshazırlık,automatic,['3370100238756385308'],1.0
456,kpsseğitim,automatic,['3370100238756385308'],1.0
457,coğrafya,automatic,['3370100238756385308'],1.0
458,cografyanotları,automatic,['3370100238756385308'],1.0
459,coğrafyakpss,automatic,['3370100238756385308'],1.0
460,kpssnotlarım,automatic,['3370100238756385308'],1.0
461,dersçalışmak,automatic,['3370100238756385308'],1.0
462,dersprogramı,automatic,['3370100238756385308'],1.0
463,kpsslisans,automatic,['3370100238756385308'],1.0
464,kpssönlisans,automatic,['3370100238756385308'],1.0
465,kpssortaöğretim,automatic,['3370100238756385308'],1.0
466,kpsscoğrafyanotları,automatic,['3370100238756385308'],1.0
467,dersnotları,automatic,['3370100238756385308'],1.0
468,cografyakpsss,automatic,['3370100238756385308'],1.0
469,lisanskpss,automatic,['3370100238756385308'],1.0
470,lisanscoğrafya,automatic,['3370100238756385308'],1.0
471,onlisanscografya,automatic,['3370100238756385308'],1.0
472,ösym,automatic,['3370100238756385308'],1.0
473,kpssblog,automatic,['3370100238756385308'],1.0
474,kpssblogger,automatic,['3370100238756385308'],1.0
475,coğrafyaşifreleri,automatic,['3370100238756385308'],1.0
476,şifrelicoğrafya,automatic,['3370100238756385308'],1.0
477,kpssgenelkültür,automatic,['3370100238756385308'],1.0
478,kpssmotive,automatic,['3370100238756385308'],1.0
479,öğretmenatamaları,automatic,['3370100238756385308'],1.0
480,emekli̇,automatic,['3370100238756385308'],1.0
482,otel,automatic,['3369884139483338132'],1.0
483,siyaset,automatic,['3369884139483338132'],1.0
484,adana,automatic,['3369884139483338132'],1.0
485,ceyhan,automatic,['3369884139483338132'],1.0
486,akparti,automatic,['3369884139483338132'],1.0
488,sondakikahaberi,automatic,['3369884139483338132'],1.0
489,sondakikahaberler,automatic,['3369884139483338132'],1.0
490,sondakikahaberleri,automatic,['3369884139483338132'],1.0
491,sondakikahaber,automatic,['3369884139483338132'],1.0
492,news,automatic,['3369884139483338132'],1.0
493,güncelhaber,automatic,['3369884139483338132'],1.0
494,habergündemi,automatic,['3369884139483338132'],1.0
495,chp,automatic,['3369884139483338132'],1.0
496,ceyhanoteli,automatic,['3369884139483338132'],1.0
497,ceyhanbelediyesi,automatic,['3369884139483338132'],1.0
658,gündem:,automatic,['3367265980276399050'],1.0
446,tasarrufgenelgesi,automatic,['3370032961384924465'],1.0
447,cumhurbaşkanıerdoğan,automatic,['3370032961384924465'],1.0
498,proje,automatic,['3369884139483338132'],1.0
448,diyanet,automatic,['3369842229836973367'],1.0
449,a8,automatic,['3369842229836973367'],1.0
659,🇹🇷,automatic,['3367265980276399050'],1.0
660,ekonomi̇,automatic,['3367265980276399050'],1.0
450,like,automatic,['3370759294880741512'],1.0
451,gününkaresi,automatic,['3370759294880741512'],1.0
661,cumhurbaşkanıyardımcısı,automatic,['3367265980276399050'],1.0
662,"cevdetyılmaz,",automatic,['3367265980276399050'],1.0
663,hazinevemaliyebakanı,automatic,['3367265980276399050'],1.0
664,mehmetşimşek,automatic,['3367265980276399050'],1.0
833,memetssimsek,automatic,['Y29tbWVudDo0MjcyNjU1MTY3MjczNDBfMTE1NDAwMDY2NTYzMTI4OA=='],1.0
666,verimlilikpaketi”ni,automatic,['3367265980276399050'],1.0
667,şirketler💥,automatic,['3367265980276399050'],1.0
668,i̇şletmeler,automatic,['3367265980276399050'],1.0
669,mekânlar,automatic,['3367265980276399050'],1.0
670,i̇şbirliği,automatic,['3367265980276399050'],1.0
671,reklam,automatic,['3367265980276399050'],1.0
672,tanıtım,automatic,['3367265980276399050'],1.0
673,"aboneol,",automatic,['3367265980276399050'],1.0
674,"takipet,",automatic,['3367265980276399050'],1.0
675,"beğen,",automatic,['3367265980276399050'],1.0
676,"yorumyap,",automatic,['3367265980276399050'],1.0
677,paylaş,automatic,['3367265980276399050'],1.0
678,yalova,automatic,['3367265980276399050'],1.0
679,canakkaleegecom,automatic,['3367265980276399050'],1.0
680,canakkaleegecomtr,automatic,['3367265980276399050'],1.0
760,akpartirize,automatic,['3367382449489549430'],1.0
761,akpazar,automatic,['3367382449489549430'],1.0
835,komudatasaruf,automatic,['10230083370139614'],1.0
682,i̇ktidar,automatic,['3367242097446389531'],1.0
683,döviz,automatic,['3367242097446389531'],1.0
762,rize,automatic,['3367382449489549430'],1.0
763,rizepazar,automatic,['3367382449489549430'],1.0
751,kamudatasarruf’’,automatic,['3367505637278746562'],1.0
827,giyimyardımı,automatic,['3367826250277672795'],1.0
738,kamudatasarruf’’,automatic,['3367513282580716177'],1.0
746,maliyebakanlığı,automatic,['3367412049505933137'],1.0
684,kpss2024,automatic,['3367793241804268396'],1.0
747,erzurum,automatic,['3367412049505933137'],1.0
720,kamudatasarruf’’,automatic,['3367166883460723513'],1.0
748,yirmibeş,automatic,['3367412049505933137'],1.0
739,özgürkarabat,automatic,['3367630962345281158'],1.0
740,ekonomikkrizinbedeliemekçilereödetiliyor,automatic,['3367630962345281158'],1.0
721,hmb,automatic,['3367255561961581733'],1.0
722,dovletov,automatic,['3367255561961581733'],1.0
741,bakanisimsek,automatic,['3367630962345281158'],1.0
742,ballıi̇haleler,automatic,['3367630962345281158'],1.0
743,memurunekmeğindentasarruf,automatic,['3367630962345281158'],1.0
744,ekonomikkrizinbedeli,automatic,['3367630962345281158'],1.0
745,krizinbedeliemekçilere,automatic,['3367630962345281158'],1.0
749,25,automatic,['3367412049505933137'],1.0
789,ımf,automatic,['3367047273714663858'],1.0
828,kamuf,automatic,"['873763921432291', '3367234264552638770']",2.0
802,kamuhabertakvimi,automatic,['3367065110931642066'],1.0
803,kamubankaları,automatic,['3367065110931642066'],1.0
790,kemersıkmapolitikası,automatic,['3367079348512807291'],1.0
791,maliyebakanı,automatic,['3367079348512807291'],1.0
804,kamuhaberleri,automatic,['3367065110931642066'],1.0
792,bihaber,automatic,['3367079348512807291'],1.0
793,adahbrcom,automatic,['3367079348512807291'],1.0
794,istbihaber,automatic,['3367079348512807291'],1.0
795,sakaryabihaber,automatic,['3367079348512807291'],1.0
688,kamuiscialimi,automatic,['3367243510560164468'],1.0
689,kamuişilanları,automatic,['3367243510560164468'],1.0
690,kamupersonelialimlari,automatic,['3367243510560164468'],1.0
691,memuralımı,automatic,['3367243510560164468'],1.0
692,memuralımları,automatic,['3367243510560164468'],1.0
693,isilanlari,automatic,['3367243510560164468'],1.0
694,isilani,automatic,['3367243510560164468'],1.0
695,kpssbgrubualimlari,automatic,['3367243510560164468'],1.0
696,hazinevemaliyeuzmanyardımcılığı,automatic,['3367243510560164468'],1.0
697,uzmanyardimciligi,automatic,['3367243510560164468'],1.0
698,bankasinavlari,automatic,['3367243510560164468'],1.0
699,bankailan,automatic,['3367243510560164468'],1.0
700,bankapersoneli,automatic,['3367243510560164468'],1.0
701,2024kpssagrubu,automatic,['3367243510560164468'],1.0
702,kpssagrubu2024,automatic,['3367243510560164468'],1.0
703,kpsslisans2024,automatic,['3367243510560164468'],1.0
704,kpssalan,automatic,['3367243510560164468'],1.0
705,geliruzmanyardımcılığı,automatic,['3367243510560164468'],1.0
706,denetmenyardımcılığı,automatic,['3367243510560164468'],1.0
707,guysinavi,automatic,['3367243510560164468'],1.0
708,2024geliruzmanyardımcılığı,automatic,['3367243510560164468'],1.0
709,guysınavı,automatic,['3367243510560164468'],1.0
710,vergimüfettişi,automatic,['3367243510560164468'],1.0
711,defterdarlıkuzmanyardımcılığı,automatic,['3367243510560164468'],1.0
712,keşfetteyim,automatic,['3367240855398264124'],1.0
713,kayseri38,automatic,['3367240855398264124'],1.0
821,denizli,automatic,['3367333787685956215'],1.0
753,akdarıca,automatic,['3367469527114793526'],1.0
822,paü,automatic,['3367333787685956215'],1.0
754,i̇skender,automatic,['3367341231618180845'],1.0
755,düğüm,automatic,['3367341231618180845'],1.0
823,pamukkale,automatic,['3367333787685956215'],1.0
824,pamukkaleüniversitesi,automatic,['3367333787685956215'],1.0
832,economic,automatic,"['1146974376556622', '3369842229836973367', '3371532628304287789', '3367224855864554643']",4.0
836,cevdetılmaz,automatic,['971731334166607'],1.0
837,mehmetşek,automatic,['971731334166607'],1.0
839,state,automatic,['452603617423514'],1.0
840,israf,automatic,['452603617423514'],1.0
841,zeytinburnu,automatic,['452603617423514'],1.0
842,zeytinburnu,automatic,['452603617423514'],1.0
853,kaml,automatic,['873431674798849'],1.0
854,kamdatasarruf,automatic,['873431674798849'],1.0
855,last,automatic,"['10233140418999656', '3369884139483338132', '3369818974562913551', '3367224855864554643', '3367031776154979857']",5.0
856,tassarruf,automatic,"['10233140418999656', '3367031776154979857']",2.0
857,koonomi,automatic,['10233140418999656'],1.0
765,ekonomi,automatic,['3367508651908169651'],1.0
766,ekonomihaber,automatic,['3367508651908169651'],1.0
767,gaziantep,automatic,['3367508651908169651'],1.0
805,kamudatasarrufbaşlasın,automatic,['3367065110931642066'],1.0
768,i̇skender,automatic,['3367282701893523798'],1.0
769,düğüm,automatic,['3367282701893523798'],1.0
858,economi,automatic,"['10233140418999656', '3369842229836973367', '3371532628304287789', '3367224855864554643', 'UzpfSTEwMDAzNzMyMjEyMDcxNzoxMTQ2OTc0Mzc2NTU2NjIyOjExNDY5NzQzNzY1NTY2MjI=', 'UzpfSTEwMDA2Mzc4NjY1MjU5Njo5MTY4MDUwNDM3ODkwNDI6OTE2ODA1MDQzNzg5MDQy']",6.0
771,kamudatasarruf’’,automatic,['3367296919383687079'],1.0
772,tasarrufpa,automatic,"['3367325077509433327', '3367224855864554643']",2.0
859,instagram,automatic,['767973472193097'],1.0
860,reelvideoinstagram,automatic,['767973472193097'],1.0
773,zaferpartisi,automatic,['3367154937125058043'],1.0
774,ümitözdağ,automatic,['3367154937125058043'],1.0
843,erudia8,automatic,['755987990042014'],1.0
807,kamudatasarrufbaşlasın,automatic,['3367019427420089646'],1.0
808,akkadinhendek,automatic,['3367019427420089646'],1.0
809,akparti,automatic,['3367019427420089646'],1.0
861,hostin,automatic,['10230093100382864'],1.0
862,kaapitulation,automatic,['10230093100382864'],1.0
863,privatisation,automatic,['10230093100382864'],1.0
864,commudatasarruf,automatic,"['10230093100382864', '3371918175806443325']",2.0
865,israil,automatic,['10230093100382864'],1.0
866,arzimevud,automatic,['10230093100382864'],1.0
867,bop,automatic,['10230093100382864'],1.0
796,türkiyeyüzyılı,automatic,['3367043413629403546'],1.0
868,centerly,automatic,['10230093100382864'],1.0
829,kamudasarruf,automatic,"['873763921432291', '3367234264552638770']",2.0
830,jazl,automatic,"['873763921432291', '3367234264552638770']",2.0
869,lubnan,automatic,['10230093100382864'],1.0
