id,poster_name,post_source_id,post_source_name,post_source_members,post_url,post_id,post_source_type,post_type,post_text,post_tokens,post_join_text,post_sentiment,post_intent,post_date,post_reaction_count,post_language,post_hashtags,post_source_url,poster_url,post_keywords,post_date_std
98,nihatsahin230,18125860879350926,nihatsahin230,0,https://www.instagram.com/p/C7EF6e0sjh8/,18125860879350926,instagram,hashtag comment,I'm sorry to hear what this man is about to ride.,,,negative,,2024-05-17T09:12:25.000Z,4,en,[],https://www.instagram.com/p/C7EF6e0sjh8/,https://www.instagram.com/p/C7EF6e0sjh8/,"['sorry', 'this man']",17/05/2024
99,mmt.gumus1453,18445137943022210,mmt.gumus1453,0,https://www.instagram.com/p/C7EF6e0sjh8/,18445137943022210,instagram,hashtag comment,His new safe has arrived. This is old enough for him to ride.,,,positive,,2024-05-17T09:34:41.000Z,3,en,[],https://www.instagram.com/p/C7EF6e0sjh8/,https://www.instagram.com/p/C7EF6e0sjh8/,"['new', 'safe', 'old']",17/05/2024
100,asiyim08.artvin,18044056990755621,asiyim08.artvin,0,https://www.instagram.com/p/C7EF6e0sjh8/,18044056990755621,instagram,hashtag comment,@mmmt.gumus1453,,,positive,,2024-05-17T09:36:18.000Z,0,en,[],https://www.instagram.com/p/C7EF6e0sjh8/,https://www.instagram.com/p/C7EF6e0sjh8/,['@ mmmt.gumus1453'],17/05/2024
101,haticeli,18009661376387982,haticeli,0,https://www.instagram.com/p/C7EF6e0sjh8/,18009661376387982,instagram,hashtag comment,"No matter what he does, you motherfuckers can't help it.",,,negative,,2024-05-17T10:22:54.000Z,0,en,[],https://www.instagram.com/p/C7EF6e0sjh8/,https://www.instagram.com/p/C7EF6e0sjh8/,"['No matter', 'motherfuckers', ""n't help""]",17/05/2024
102,haticeli,17865226125129682,haticeli,0,https://www.instagram.com/p/C7EF6e0sjh8/,17865226125129682,instagram,hashtag comment,"You go into space, you build a plane, you use it, you use it, you use it, you use it, you use it, you can't wash it, you get it, you get it, you get it, you get it, you get it, you get it, you get it, you get it, you get it, you get it, you get it, you get it, you get it, you get it, you get it, you get it, you get it, you get it, you get it, you get it, you get it, you get it, you get it, you get it, you get it, you get it, you get it, you get it, you get it, you get it, you get it, you get it, you get it, you get it, you get it, you get it, you get it, you get it, you get it, you get it, you get it, you get it, you get it, you get it, you get it.",,,positive,,2024-05-17T10:24:37.000Z,1,en,[],https://www.instagram.com/p/C7EF6e0sjh8/,https://www.instagram.com/p/C7EF6e0sjh8/,"['space', 'a plane', ""n't wash""]",17/05/2024
103,erkandlc,17945559026702852,erkandlc,0,https://www.instagram.com/p/C7EF6e0sjh8/,17945559026702852,instagram,hashtag comment,"Look, there is money for the mosques on Friday again. Let's take it away. Let's relax about the President of the Languages. If there is money to be collected from the clinic, why do you need it to buy money for the poor who can't marry children who can't afford it? It's an unnecessary presidential position.",,,negative,,2024-05-17T10:35:05.000Z,3,en,[],https://www.instagram.com/p/C7EF6e0sjh8/,https://www.instagram.com/p/C7EF6e0sjh8/,"['Look', 'money', 'the mosques', 'Friday', 'the President', 'the Languages', 'money', 'the clinic', 'money', 'poor', ""n't marry"", 'children', ""n't afford"", 'an unnecessary presidential position']",17/05/2024
104,kur_kut,18013483031126308,kur_kut,0,https://www.instagram.com/p/C7EF6e0sjh8/,18013483031126308,instagram,hashtag comment,"We have no other language, friends, let's not waste time on the dialogue with the soldiers.",,,neutral,,2024-05-17T10:43:51.000Z,0,en,[],https://www.instagram.com/p/C7EF6e0sjh8/,https://www.instagram.com/p/C7EF6e0sjh8/,"['no other language', 'friends', 'not waste', 'time', 'the dialogue', 'the soldiers']",17/05/2024
105,aslan_nuhoglu,17912563961946438,aslan_nuhoglu,0,https://www.instagram.com/p/C7EF6e0sjh8/,17912563961946438,instagram,hashtag comment,It's a hit.,,,positive,,2024-05-17T10:55:31.000Z,0,en,[],https://www.instagram.com/p/C7EF6e0sjh8/,https://www.instagram.com/p/C7EF6e0sjh8/,['a hit'],17/05/2024
106,nuri.cataltepe,18026414612113637,nuri.cataltepe,0,https://www.instagram.com/p/C7EF6e0sjh8/,18026414612113637,instagram,hashtag comment,@nihatsahin230 get on,,,positive,,2024-05-17T11:03:52.000Z,0,en,[],https://www.instagram.com/p/C7EF6e0sjh8/,https://www.instagram.com/p/C7EF6e0sjh8/,['@'],17/05/2024
107,bkocabey38,17849966748207728,bkocabey38,0,https://www.instagram.com/p/C7EF6e0sjh8/,17849966748207728,instagram,hashtag comment,Let my rights be prohibited. Haramci Language,,,negative,,2024-05-17T12:09:32.000Z,1,en,[],https://www.instagram.com/p/C7EF6e0sjh8/,https://www.instagram.com/p/C7EF6e0sjh8/,"['rights', 'Haramci Language']",17/05/2024
108,ruhikaraarslan,18036340969917134,ruhikaraarslan,0,https://www.instagram.com/p/C7EF6e0sjh8/,18036340969917134,instagram,hashtag comment,May God bring it back to you.,,,positive,,2024-05-17T12:57:25.000Z,0,en,[],https://www.instagram.com/p/C7EF6e0sjh8/,https://www.instagram.com/p/C7EF6e0sjh8/,['May God'],17/05/2024
109,nkorkmazyurek3866,17995490924632493,nkorkmazyurek3866,0,https://www.instagram.com/p/C7EF6e0sjh8/,17995490924632493,instagram,hashtag comment,Toros,,,positive,,2024-05-17T13:45:50.000Z,0,en,[],https://www.instagram.com/p/C7EF6e0sjh8/,https://www.instagram.com/p/C7EF6e0sjh8/,['Toros'],17/05/2024
110,serkansoydemir00,17886464793042202,serkansoydemir00,0,https://www.instagram.com/p/C7EF6e0sjh8/,17886464793042202,instagram,hashtag comment,I think Q8 will be taken.,,,negative,,2024-05-17T13:52:57.000Z,1,en,[],https://www.instagram.com/p/C7EF6e0sjh8/,https://www.instagram.com/p/C7EF6e0sjh8/,['Q8'],17/05/2024
111,irfanari38,18029008505091132,irfanari38,0,https://www.instagram.com/p/C7EF6e0sjh8/,18029008505091132,instagram,hashtag comment,"Ali sir, society hates you. Just quit.",,,negative,,2024-05-17T15:15:33.000Z,1,en,[],https://www.instagram.com/p/C7EF6e0sjh8/,https://www.instagram.com/p/C7EF6e0sjh8/,"['Ali sir', 'society hates', 'Just quit']",17/05/2024
112,mursaz,18026289112897770,mursaz,0,https://www.instagram.com/p/C7EF6e0sjh8/,18026289112897770,instagram,hashtag comment,"I don't know why he returned it, but one Friday at the end of the week, there would be help in all the mosques, and he would get a ride, IRKEK, and maybe he didn't like the other cars.",,,neutral,,2024-05-17T15:18:57.000Z,0,en,[],https://www.instagram.com/p/C7EF6e0sjh8/,https://www.instagram.com/p/C7EF6e0sjh8/,"[""n't know"", 'Friday', 'the end', 'the week', 'the mosques', 'a ride', 'IRKEK', 'the other cars']",17/05/2024
113,_aykutyavuz_,18044970658794300,_aykutyavuz_,0,https://www.instagram.com/p/C7EF6e0sjh8/,18044970658794300,instagram,hashtag comment,They must have been very upset.,,,negative,,2024-05-17T15:44:14.000Z,1,en,[],https://www.instagram.com/p/C7EF6e0sjh8/,https://www.instagram.com/p/C7EF6e0sjh8/,['upset'],17/05/2024
114,avsaroglubekir_,18008686889453121,avsaroglubekir_,0,https://www.instagram.com/p/C7EF6e0sjh8/,18008686889453121,instagram,hashtag comment,"@erkandlc I swear you're so right, the religious services are missing and you don't have the money to cover the costs of the mosques, so why do you collect money from people if you don't have any use for mosques?",,,negative,,2024-05-17T19:24:25.000Z,0,en,[],https://www.instagram.com/p/C7EF6e0sjh8/,https://www.instagram.com/p/C7EF6e0sjh8/,"['@ erkandlc', 'right', 'the religious services', ""n't have"", 'the money', 'the costs', 'the mosques', 'money', 'people', ""n't have"", 'any use', 'mosques']",17/05/2024
313,zeytin123321123,17862040467138103,zeytin123321123,0,https://www.instagram.com/p/C6-2x8-KWad/,17862040467138103,instagram,hashtag comment,give me a chance to get out of here.,,,positive,,2024-05-18T20:19:54.000Z,0,en,[],https://www.instagram.com/p/C6-2x8-KWad/,https://www.instagram.com/p/C6-2x8-KWad/,['a chance'],18/05/2024
115,erkandlc,18287968213166019,erkandlc,0,https://www.instagram.com/p/C7EF6e0sjh8/,18287968213166019,instagram,hashtag comment,"@avsaroglubekir_I never throw money in that box at the door, I always give it to our sister-in-laws at the door... how good they ask for money at Friday prayer as if they needed it at the border.",,,positive,,2024-05-17T19:33:23.000Z,0,en,[],https://www.instagram.com/p/C7EF6e0sjh8/,https://www.instagram.com/p/C7EF6e0sjh8/,"['@ avsaroglubekir_I', 'never throw', 'money', 'that box', 'the door', 'always give', 'sister-in-laws', 'the door', 'good', 'money', 'Friday prayer', 'the border']",17/05/2024
116,kaymakam007,17864811318113192,kaymakam007,0,https://www.instagram.com/p/C7EF6e0sjh8/,17864811318113192,instagram,hashtag comment,"If you can get the chief to do so, let's see if he can give you a refund. Don't tell him he can take the script instead.",,,negative,,2024-05-17T20:57:03.000Z,0,en,[],https://www.instagram.com/p/C7EF6e0sjh8/,https://www.instagram.com/p/C7EF6e0sjh8/,"['the chief', 'a refund', ""n't tell"", 'the script']",17/05/2024
117,ms56025,18046669963683020,ms56025,0,https://www.instagram.com/p/C7EF6e0sjh8/,18046669963683020,instagram,hashtag comment,Those who attacked religion and religion must take their own religious examinations to account for themselves.,,,negative,,2024-05-17T23:09:25.000Z,0,en,[],https://www.instagram.com/p/C7EF6e0sjh8/,https://www.instagram.com/p/C7EF6e0sjh8/,"['religion', 'religion', 'own religious examinations']",17/05/2024
118,tugbaalci38,17918290544825789,tugbaalci38,0,https://www.instagram.com/p/C7EF6e0sjh8/,17918290544825789,instagram,hashtag comment,Too bad he won't buy a tog.,,,negative,,2024-05-18T05:41:57.000Z,2,en,[],https://www.instagram.com/p/C7EF6e0sjh8/,https://www.instagram.com/p/C7EF6e0sjh8/,"['bad', ""n't buy"", 'a tog']",18/05/2024
119,besyildizsunger,17982037466679779,besyildizsunger,0,https://www.instagram.com/p/C7EF6e0sjh8/,17982037466679779,instagram,hashtag comment,"The U.S. BMC has arrived. Don't worry, it's armored.",,,neutral,,2024-05-18T06:42:38.000Z,1,en,[],https://www.instagram.com/p/C7EF6e0sjh8/,https://www.instagram.com/p/C7EF6e0sjh8/,"['The U.S. BMC', ""n't worry""]",18/05/2024
120,tokeralpaslan,17996345114632676,tokeralpaslan,0,https://www.instagram.com/p/C7EF6e0sjh8/,17996345114632676,instagram,hashtag comment,It was very kind of them.,,,positive,,2024-05-18T08:37:06.000Z,0,en,[],https://www.instagram.com/p/C7EF6e0sjh8/,https://www.instagram.com/p/C7EF6e0sjh8/,['kind'],18/05/2024
121,ramazanulu38,18266548738215375,ramazanulu38,0,https://www.instagram.com/p/C7EF6e0sjh8/,18266548738215375,instagram,hashtag comment,Even the falcon would have a lot to do with it.,,,negative,,2024-05-18T20:26:28.000Z,1,en,[],https://www.instagram.com/p/C7EF6e0sjh8/,https://www.instagram.com/p/C7EF6e0sjh8/,"['the falcon', 'a lot']",18/05/2024
122,yaldirakseher,18025133240319530,yaldirakseher,0,https://www.instagram.com/p/C7EF6e0sjh8/,18025133240319530,instagram,hashtag comment,He must have hidden it somewhere and gone and loved it.,,,positive,,2024-05-20T09:57:25.000Z,0,en,[],https://www.instagram.com/p/C7EF6e0sjh8/,https://www.instagram.com/p/C7EF6e0sjh8/,[],20/05/2024
123,Paratic,3373457161231786408,Paratic,0,https://www.instagram.com/p/C7Q7WowN-Go/,3373457161231786408,instagram,hashtag,How will the Public Savings and Efficiency Package affect public personnel?,,,negative,,2024-05-22T08:44:13.000Z,152,en,"['kamudatasarruf', 'ekonomi']",https://www.instagram.com/p/C7Q7WowN-Go/,https://www.instagram.com/p/C7Q7WowN-Go/,"['the Public Savings', 'Efficiency Package', 'affect public personnel']",22/05/2024
124,Alay Hamzaçebi,3372081058488615805,Alay Hamzaçebi,0,https://www.instagram.com/p/C7MCdtNCYN9/,3372081058488615805,instagram,hashtag,"Those who covet the pockets of public workers by calling them savings must first cut the hoses that flow from the budget to side, cults and parishes, foundations, contractors, palaces, interest, rate, refugees.",,,positive,,2024-05-20T11:10:09.000Z,10,en,"['tedbir', 'kamudatasarruf', 'ekonomi', 'tasarruftedbirleri', 'tasarruf', 'maaş', 'sendika', 'büroiş']",https://www.instagram.com/p/C7MCdtNCYN9/,https://www.instagram.com/p/C7MCdtNCYN9/,"['the pockets', 'public workers', 'savings', 'first cut', 'the hoses', 'the budget', 'cults', 'parishes', 'foundations', 'contractors', 'palaces', 'interest', 'rate', 'refugees']",20/05/2024
125,Büro İş Sendikası,3372077705673236241,Büro İş Sendikası,0,https://www.instagram.com/p/C7MBs6pqt8R/,3372077705673236241,instagram,hashtag,"Those who covet the pockets of public workers by calling them savings must first cut the hoses that flow from the budget to side, cults and parishes, foundations, contractors, palaces, interest, rate, refugees.",,,positive,,2024-05-20T11:03:29.000Z,30,en,"['tedbir', 'kamudatasarruf', 'ekonomi', 'tasarruftedbirleri', 'tasarruf', 'maaş', 'sendika', 'büroiş']",https://www.instagram.com/p/C7MBs6pqt8R/,https://www.instagram.com/p/C7MBs6pqt8R/,"['the pockets', 'public workers', 'savings', 'first cut', 'the hoses', 'the budget', 'cults', 'parishes', 'foundations', 'contractors', 'palaces', 'interest', 'rate', 'refugees']",20/05/2024
126,Tokat türk sağlık sen kadın kolları,3373415139287629064,Tokat türk sağlık sen kadın kolları,0,https://www.instagram.com/p/C7QxzIxKf0I/,3373415139287629064,instagram,hashtag,"If you are in public health, you can't afford to be in public.",,,negative,,2024-05-22T07:20:43.000Z,2,en,"['türksağlıksen', 'kamudatasarruf', 'memurhakkınıalamıyor']",https://www.instagram.com/p/C7QxzIxKf0I/,https://www.instagram.com/p/C7QxzIxKf0I/,"['public health', ""n't afford"", 'public']",22/05/2024
127,Büro İş Sendikası,3373412636152286447,Büro İş Sendikası,0,https://www.instagram.com/p/C7QxOtiq8zv/,3373412636152286447,instagram,hashtag,We do not accept the removal of the right to serve with the Savings Package.,,,neutral,,2024-05-22T07:15:46.000Z,24,en,"['BüroİşSendikası', 'HaklarımızıSavunuyoruz', 'TopluTaşımaHakkı', 'kamudatasarruf', 'tedbir', 'tasarruf', 'tasarruftedbirleri']",https://www.instagram.com/p/C7QxOtiq8zv/,https://www.instagram.com/p/C7QxOtiq8zv/,"['not accept', 'the removal', 'the right', 'the Savings Package']",22/05/2024
128,Mustafa Topsakal,3372946557315558134,Mustafa Topsakal,0,https://www.instagram.com/p/C7PHQXzK6r2/,3372946557315558134,instagram,hashtag,"The effects of poverty, social decomposition, refugee growth, unemployment slow our population growth, and you can say that the causes are an existential threat to all of this. @huseyinbas_btp_parti",,,negative,,2024-05-21T15:49:44.000Z,21,en,"['hüseyinbaş', 'hükümet', 'ekonomi', 'kapitülasyon', 'özelleştirme', 'kamudatasarruf', 'iktidar', 'bütçe', 'vergiler', 'memur', 'öğretmen', 'doktor', 'esnaf', 'emekli', 'işçi', 'mehmetşimşek', 'dolar', 'faiz', 'mevduat', 'banka', 'haciz', 'çiftçi', 'tarım', 'hayvancılık', 'ötv', 'kdv', 'hırsızlık', 'yolsuzluk', 'rant', 'peşkeş']",https://www.instagram.com/p/C7PHQXzK6r2/,https://www.instagram.com/p/C7PHQXzK6r2/,"['The effects', 'poverty', 'social decomposition', 'refugee growth', 'unemployment', 'population growth', 'the causes', 'an existential threat', 'huseyinbas_btp_parti']",21/05/2024
129,Diyarbakır,3369844524115831490,Diyarbakır,0,https://www.instagram.com/p/C7EF72QOCrC/,3369844524115831490,instagram,hashtag,"Turkish Bureau Diyarbakir has issued a written statement due to the Social Security Week, which is celebrated between 13 and 19 May. The statement responded to the austerity package brought to the public.",,,positive,,2024-05-17T09:06:33.000Z,3,en,"['kamu', 'tasarruf', 'kamudatasarruf', 'diyarbakırsondakika', 'diyarbakırhaber', 'türkbürosen']",https://www.instagram.com/p/C7EF72QOCrC/,https://www.instagram.com/p/C7EF72QOCrC/,"['Turkish Bureau Diyarbakir', 'statement', 'due', 'the Social Security Week', 'May', 'The statement', 'the austerity package', 'the public']",17/05/2024
130,YENİCE MALİ MÜŞAVİRLİK DANIŞMANLIK VE DENETİM,3371616615751599217,YENİCE MALİ MÜŞAVİRLİK DANIŞMANLIK VE DENETİM,0,https://www.instagram.com/p/C7KY3LMrcRx/,3371616615751599217,instagram,hashtag,............................................................................................,,,positive,,2024-05-19T19:47:23.000Z,2,en,"['kamudatasarruf', 'verimlilikpaketi']",https://www.instagram.com/p/C7KY3LMrcRx/,https://www.instagram.com/p/C7KY3LMrcRx/,['............................................................................................'],19/05/2024
131,tv40,3371538084044269035,tv40,0,https://www.instagram.com/p/C7KHAY2KOXr/,3371538084044269035,instagram,hashtag,"The difference has been made with pension: Officer does not want to retire! The disability to restrict employment has been restricted to the public for 3 years. Officer Ali Yalçin, who assesses the new savings package, has expressed that there is no more money to save from labour, not more personnel. The bond between duty pension and pension has been broken significantly. Public officials also wish not to retire, and the public officials who have retired wish not to return to duty.",,,negative,,2024-05-19T17:11:21.000Z,7,en,"['memur', 'emekli', 'kamudatasarruf']",https://www.instagram.com/p/C7KHAY2KOXr/,https://www.instagram.com/p/C7KHAY2KOXr/,"['The difference', 'pension', 'Officer', 'not want', 'The disability', 'employment', 'the public', 'years', 'Officer Ali Yalçin', 'the new savings package', 'no more money', 'labour', 'personnel', 'The bond', 'duty pension', 'pension', 'Public officials', 'wish', 'the public officials', 'wish', 'duty']",19/05/2024
132,GÜL KILIÇ,3371918175806443325,GÜL KILIÇ,0,https://www.instagram.com/p/C7Ldbc4oE89/,3371918175806443325,instagram,hashtag,"Welcome everyone from a new week, my valued investors, along with the measures and controls of the OHR # Gülklic #astor #borsa #bist #forte #commudatasarruf #alves #free #koza #krdmd #pgsus #thyo #gubrf #sa #sadline #brkvy #ktiv #eczyt",,,positive,,2024-05-20T05:46:31.000Z,503,en,"['gülkılıç', 'astor', 'borsa', 'bist', 'forte', 'kamudatasarruf', 'keşfetteyiz', 'alves', 'ereğli', 'koza', 'kozal', 'krdmd', 'pgsus', 'thyo', 'gubrf', 'sasa', 'odine', 'brkvy', 'ktlev', 'eczyt']",https://www.instagram.com/p/C7Ldbc4oE89/,https://www.instagram.com/p/C7Ldbc4oE89/,"['everyone', 'a new week', 'investors', 'the measures', 'controls', 'the OHR', 'Gülklic', 'astor', 'borsa', 'bist', 'forte', 'commudatasarruf', 'alves', 'free', 'koza', 'krdmd', 'pgsus', 'thyo', 'gubrf', 'sa', 'sadline', 'brkvy', 'ktiv', 'eczyt']",20/05/2024
133,Büro İş Sendikası,3372040737874567189,Büro İş Sendikası,0,https://www.instagram.com/p/C7L5S9tKOAV/,3372040737874567189,instagram,hashtag,"The press release of our President-in-Chief, Aluk Hamzacebi and General Legal Secretary-in-Chief Dursun Pekmez during the Tekirdağ organisation has been published in local newspapers.",,,positive,,2024-05-20T09:50:02.000Z,20,en,"['tedbir', 'tasarruftedbirleri', 'tasarruf', 'kamudatasarruf', 'maaş', 'ekonomi', 'zam', 'enflasyon', 'sendika', 'büroiş']",https://www.instagram.com/p/C7L5S9tKOAV/,https://www.instagram.com/p/C7L5S9tKOAV/,"['The press release', 'President-in-Chief', 'Aluk Hamzacebi', 'General Legal Secretary-in-Chief Dursun Pekmez', 'the Tekirdağ organisation', 'local newspapers']",20/05/2024
134,Onyedi Eylül Gazetesi,3370675163768196930,Onyedi Eylül Gazetesi,0,https://www.instagram.com/p/C7HCzPtoo9C/,3370675163768196930,instagram,hashtag,Austerity measures announced in the public by Turkish Treasury and Finance Minister Mehmet Simsek have been published in the Official Paper under the signature of Justice and President Recep Tayyip Erdogan.,,,positive,,2024-05-18T12:36:53.000Z,9,en,"['haber', 'onyedieylül', 'onyedieylulgazetesi', 'basın', 'press', 'medya', 'iletişim', 'comminication', 'breakingnews', 'bandırma', 'türkiye', 'kamudatasarruf', 'cumhurbaşkanı', 'receptayyiperdoğan', 'hazinevemaliyebakanlığı', 'mehmetşimşek', 'cevdetyılmaz']",https://www.instagram.com/p/C7HCzPtoo9C/,https://www.instagram.com/p/C7HCzPtoo9C/,"['Austerity measures', 'the public', 'Turkish Treasury', 'Finance Minister Mehmet Simsek', 'the Official Paper', 'the signature', 'Justice', 'President Recep Tayyip Erdogan']",18/05/2024
